                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2265,                 3.7528,                 1.7524,                0.46901,                0.21317,                0.18049,                0.08747,                 2.1747,                 2.8733,                 1.6183,              0.0033271,              0.0033271,              0.0033271
                      2,                 2.1322,                 2.8212,                 1.6474,                0.45925,                0.19849,                0.15126,                0.06258,                 2.3586,                 2.8972,                  1.685,              0.0066382,              0.0066382,              0.0066382
                      3,                 2.2186,                 2.7358,                 1.7163,                0.16513,                0.13958,                0.08977,                0.03738,                 2.7658,                 3.7741,                 2.2369,              0.0099272,              0.0099272,              0.0099272
