                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2005,                 3.7371,                 1.7519,                0.50465,                0.22343,                0.19214,                0.09362,                 2.2205,                 2.9733,                 1.6128,              0.0033271,              0.0033271,              0.0033271
                      2,                 2.1225,                 2.8006,                 1.6271,                0.58233,                0.20732,                0.17638,                0.08547,                 2.3059,                 3.1003,                 1.6691,              0.0065495,              0.0065495,              0.0065495
                      3,                 2.2168,                 2.7256,                 1.7058,                0.27584,                0.16124,                0.13086,                0.05331,                  2.358,                 3.1175,                 1.8157,               0.009661,               0.009661,               0.009661
                      4,                 2.2217,                 2.6266,                 1.7402,                0.33684,                0.22504,                  0.178,                0.08129,                 2.2288,                 2.7708,                 1.7537,              0.0095005,              0.0095005,              0.0095005
                      5,                 2.1299,                 2.4491,                 1.6776,                0.37918,                0.21948,                0.19658,                0.09816,                  2.187,                 2.5795,                 1.7088,              0.0095005,              0.0095005,              0.0095005
                      6,                 2.0758,                 2.3483,                 1.6348,                0.41667,                0.24652,                 0.2402,                0.11822,                  2.089,                 2.2863,                 1.6005,               0.009334,               0.009334,               0.009334
                      7,                 2.0419,                 2.2695,                 1.6058,                0.44333,                0.28109,                0.26879,                0.13435,                 2.0195,                 2.2526,                 1.5731,              0.0091675,              0.0091675,              0.0091675
                      8,                 2.0076,                 2.2209,                 1.5891,                0.47696,                0.27694,                0.27328,                0.13395,                 2.0541,                 2.3217,                 1.5855,               0.009001,               0.009001,               0.009001
                      9,                 1.9882,                 2.1798,                 1.5745,                0.45284,                0.30069,                0.29737,                0.15362,                  1.972,                 2.1522,                 1.5258,              0.0088345,              0.0088345,              0.0088345
                     10,                 1.9659,                 2.1345,                 1.5559,                0.46996,                0.33313,                0.33662,                0.17453,                 1.9327,                 2.0326,                 1.5052,               0.008668,               0.008668,               0.008668
                     11,                 1.9516,                 2.1045,                 1.5446,                0.37644,                0.33993,                0.33327,                0.17448,                  1.904,                 2.0091,                 1.4655,              0.0085015,              0.0085015,              0.0085015
                     12,                 1.9329,                 2.0682,                 1.5322,                 0.4902,                 0.3459,                0.36529,                0.18518,                 1.8989,                 1.9702,                 1.4703,               0.008335,               0.008335,               0.008335
                     13,                 1.9203,                 2.0439,                 1.5242,                0.49017,                0.34428,                0.37626,                0.19506,                 1.8701,                 1.9244,                 1.4671,              0.0081685,              0.0081685,              0.0081685
                     14,                 1.9131,                 2.0271,                  1.519,                 0.4981,                0.37208,                0.38421,                0.19615,                 1.8703,                 1.9145,                 1.4787,               0.008002,               0.008002,               0.008002
                     15,                  1.898,                 2.0019,                 1.5077,                0.47376,                0.41574,                 0.4136,                0.21353,                 1.8486,                 1.8661,                 1.4442,              0.0078355,              0.0078355,              0.0078355
                     16,                 1.8909,                 1.9841,                 1.5039,                0.46174,                0.43935,                0.43363,                0.22819,                 1.8197,                 1.8131,                 1.4268,               0.007669,               0.007669,               0.007669
                     17,                 1.8789,                 1.9661,                 1.4965,                0.46965,                0.48998,                0.44964,                0.23276,                 1.8059,                 1.8027,                 1.4133,              0.0075025,              0.0075025,              0.0075025
                     18,                 1.8783,                 1.9542,                 1.4917,                 0.5504,                0.43221,                0.45167,                 0.2422,                 1.8176,                 1.7763,                 1.4093,               0.007336,               0.007336,               0.007336
                     19,                 1.8697,                  1.939,                 1.4851,                0.53897,                0.46425,                0.46889,                0.24375,                  1.798,                 1.7523,                 1.4061,              0.0071695,              0.0071695,              0.0071695
                     20,                  1.854,                 1.9217,                 1.4771,                0.55922,                0.44746,                0.47116,                0.24832,                 1.7892,                 1.7411,                  1.397,               0.007003,               0.007003,               0.007003
                     21,                 1.8481,                 1.9055,                 1.4734,                0.55064,                0.44195,                0.47526,                0.25519,                 1.7815,                 1.7253,                 1.3955,              0.0068365,              0.0068365,              0.0068365
                     22,                  1.834,                 1.8881,                 1.4645,                0.53807,                0.45518,                0.48014,                0.26245,                 1.7767,                 1.7147,                 1.3857,                0.00667,                0.00667,                0.00667
                     23,                  1.832,                 1.8732,                 1.4607,                0.51141,                 0.4919,                0.50825,                0.26737,                 1.7759,                 1.7049,                 1.3842,              0.0065035,              0.0065035,              0.0065035
                     24,                 1.8242,                 1.8617,                 1.4558,                0.56479,                0.46479,                0.50371,                0.26932,                 1.7662,                 1.6929,                  1.381,               0.006337,               0.006337,               0.006337
                     25,                 1.8256,                 1.8511,                 1.4553,                 0.5328,                 0.4647,                0.50763,                0.26773,                 1.7645,                 1.6848,                 1.3755,              0.0061705,              0.0061705,              0.0061705
                     26,                 1.8156,                 1.8423,                 1.4495,                0.55364,                0.46121,                0.50909,                 0.2688,                 1.7577,                 1.6693,                  1.371,               0.006004,               0.006004,               0.006004
                     27,                 1.8076,                 1.8269,                 1.4447,                0.56918,                0.46932,                 0.5012,                0.26495,                 1.7565,                 1.6608,                 1.3685,              0.0058375,              0.0058375,              0.0058375
                     28,                 1.8038,                 1.8063,                 1.4393,                 0.5626,                0.47813,                0.51348,                0.26809,                  1.755,                  1.656,                  1.366,               0.005671,               0.005671,               0.005671
                     29,                  1.792,                 1.7936,                 1.4296,                 0.5474,                0.51792,                0.52312,                0.27088,                 1.7519,                 1.6479,                 1.3616,              0.0055045,              0.0055045,              0.0055045
                     30,                 1.7889,                 1.7801,                 1.4299,                0.55341,                0.49342,                0.51103,                0.27111,                 1.7487,                 1.6415,                   1.36,               0.005338,               0.005338,               0.005338
                     31,                 1.7841,                 1.7633,                 1.4274,                0.52213,                0.51316,                0.52271,                0.27321,                 1.7486,                 1.6358,                 1.3596,              0.0051715,              0.0051715,              0.0051715
                     32,                 1.7723,                 1.7591,                 1.4241,                0.52169,                0.50872,                0.52332,                0.27488,                 1.7465,                 1.6288,                 1.3588,               0.005005,               0.005005,               0.005005
                     33,                 1.7694,                 1.7415,                  1.415,                0.55651,                0.49304,                0.52297,                  0.277,                 1.7445,                  1.623,                 1.3568,              0.0048385,              0.0048385,              0.0048385
                     34,                 1.7601,                 1.7258,                 1.4128,                0.53129,                0.51232,                0.52804,                 0.2833,                 1.7422,                 1.6189,                 1.3554,               0.004672,               0.004672,               0.004672
                     35,                 1.7497,                 1.7091,                 1.4043,                0.55415,                0.49126,                0.52796,                0.28654,                 1.7404,                 1.6147,                 1.3543,              0.0045055,              0.0045055,              0.0045055
                     36,                 1.7511,                 1.7048,                 1.4053,                0.56884,                0.49109,                0.52902,                0.28749,                 1.7393,                 1.6104,                  1.353,               0.004339,               0.004339,               0.004339
                     37,                 1.7435,                 1.6937,                 1.4035,                0.57614,                0.48513,                0.53213,                0.29027,                 1.7377,                 1.6057,                 1.3523,              0.0041725,              0.0041725,              0.0041725
