                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.7382,                 1.6789,                 1.3967,                0.56308,                0.48944,                0.53155,                 0.2921,                 1.7363,                 1.6013,                 1.3511,               0.004006,               0.004006,               0.004006
                     39,                 1.7255,                  1.664,                 1.3888,                0.56329,                0.49123,                0.53187,                0.29312,                 1.7344,                 1.5964,                 1.3493,              0.0038395,              0.0038395,              0.0038395
                     40,                 1.7236,                 1.6495,                 1.3867,                0.57167,                0.48852,                0.52843,                0.29487,                  1.732,                 1.5915,                 1.3476,               0.003673,               0.003673,               0.003673
                     41,                 1.7123,                 1.6374,                 1.3823,                0.57479,                0.48831,                0.53535,                0.29531,                 1.7309,                 1.5863,                 1.3463,              0.0035065,              0.0035065,              0.0035065
                     42,                 1.7087,                 1.6331,                 1.3767,                 0.5834,                0.48559,                0.53722,                0.29854,                 1.7287,                 1.5828,                 1.3451,                0.00334,                0.00334,                0.00334
                     43,                 1.6993,                 1.6135,                 1.3705,                0.57691,                0.49458,                0.53795,                0.29993,                 1.7279,                 1.5782,                 1.3445,              0.0031735,              0.0031735,              0.0031735
                     44,                 1.6883,                 1.6016,                 1.3656,                0.58148,                0.49636,                0.54188,                0.30055,                 1.7273,                 1.5745,                 1.3436,               0.003007,               0.003007,               0.003007
                     45,                 1.6828,                 1.5814,                 1.3594,                0.58335,                0.50483,                0.54264,                0.30105,                 1.7263,                 1.5696,                 1.3423,              0.0028405,              0.0028405,              0.0028405
                     46,                 1.6764,                 1.5772,                 1.3573,                0.58473,                0.50662,                0.54713,                 0.3033,                 1.7255,                 1.5639,                 1.3409,               0.002674,               0.002674,               0.002674
                     47,                 1.6699,                 1.5584,                 1.3547,                0.58282,                0.50818,                0.54964,                0.30465,                 1.7249,                   1.56,                 1.3399,              0.0025075,              0.0025075,              0.0025075
                     48,                 1.6632,                 1.5486,                 1.3489,                0.58872,                0.50809,                0.55152,                 0.3051,                 1.7239,                 1.5557,                 1.3385,               0.002341,               0.002341,               0.002341
                     49,                 1.6511,                 1.5349,                 1.3423,                 0.6041,                0.50472,                0.54775,                0.30222,                 1.7226,                 1.5513,                 1.3372,              0.0021745,              0.0021745,              0.0021745
                     50,                 1.6439,                 1.5202,                 1.3379,                0.60521,                0.50503,                0.54885,                0.30345,                 1.7212,                 1.5471,                 1.3357,               0.002008,               0.002008,               0.002008
                     51,                 1.5849,                 1.4089,                 1.3042,                0.60597,                0.50607,                0.55178,                0.30525,                 1.7204,                 1.5421,                 1.3346,              0.0018415,              0.0018415,              0.0018415
                     52,                 1.5742,                 1.3883,                 1.2987,                0.60733,                0.50464,                0.55166,                0.30656,                   1.72,                 1.5368,                 1.3336,               0.001675,               0.001675,               0.001675
                     53,                 1.5644,                 1.3678,                 1.2885,                0.60662,                0.50619,                0.55385,                0.30812,                  1.719,                 1.5317,                  1.332,              0.0015085,              0.0015085,              0.0015085
                     54,                 1.5575,                 1.3586,                 1.2854,                0.60931,                0.50685,                 0.5556,                0.30907,                 1.7175,                 1.5262,                 1.3305,               0.001342,               0.001342,               0.001342
                     55,                 1.5437,                 1.3415,                 1.2799,                0.60382,                0.51088,                0.55707,                0.31019,                 1.7168,                 1.5208,                 1.3294,              0.0011755,              0.0011755,              0.0011755
                     56,                  1.532,                 1.3204,                 1.2749,                0.60739,                0.51243,                0.55765,                  0.311,                  1.716,                 1.5158,                 1.3285,               0.001009,               0.001009,               0.001009
                     57,                 1.5256,                 1.3111,                 1.2691,                0.61786,                0.50428,                0.55908,                0.31259,                 1.7147,                 1.5101,                 1.3271,              0.0008425,              0.0008425,              0.0008425
                     58,                 1.5137,                 1.2949,                 1.2638,                0.63147,                0.50381,                0.56286,                0.31548,                 1.7137,                 1.5039,                 1.3257,               0.000676,               0.000676,               0.000676
                     59,                 1.5077,                 1.2825,                 1.2598,                0.63526,                 0.5004,                 0.5646,                0.31647,                 1.7123,                 1.4983,                 1.3243,              0.0005095,              0.0005095,              0.0005095
                     60,                 1.4927,                 1.2728,                 1.2543,                 0.6382,                0.51055,                0.56658,                0.31722,                 1.7114,                 1.4922,                 1.3236,               0.000343,               0.000343,               0.000343
